time,tmin,tmax,tavg,prcp,wspd,wdir,pres,day_since_t0
1993-07-05,14.4,18.2,15.5,0.0,25.7,294.0,1017.2,0
1993-07-09,13.4,22.1,17.4,0.0,21.6,205.0,1007.1,4
1993-07-11,6.0,16.0,12.2,12.4,3.1,140.0,1010.2,6
1993-07-17,14.2,20.0,15.9,4.7,11.6,201.0,1010.6,12
1993-07-19,12.2,20.4,15.5,0.0,14.9,207.0,1010.3,14
1993-07-20,14.6,16.9,15.2,1.0,13.6,112.0,1006.0,15
1993-07-22,11.8,15.0,13.1,0.0,26.4,267.0,1012.4,17
1993-07-23,10.0,17.0,13.4,2.1,20.5,261.0,1013.3,18
1993-07-26,12.2,17.6,14.4,0.7,30.0,242.0,1002.3,21
1993-07-27,11.9,18.6,13.9,0.2,21.7,230.0,1008.2,22
1993-08-02,10.6,20.0,15.6,8.0,11.8,189.0,1022.0,28
1993-08-04,12.9,20.4,15.3,0.0,15.9,204.0,1018.4,30
1993-08-08,13.5,19.0,15.8,0.0,11.4,233.0,1016.1,34
1993-08-10,14.2,18.6,15.7,0.8,24.2,235.0,1000.4,36
1993-08-11,11.2,18.4,14.1,0.3,26.6,244.0,1007.4,37
1993-08-13,12.6,18.5,15.0,0.0,26.7,267.0,1013.4,39
1993-08-14,9.0,19.3,14.9,0.0,14.6,184.0,1023.7,40
1993-08-16,14.6,19.2,16.6,0.3,11.4,235.0,1017.2,42
1993-08-17,11.0,16.0,13.2,0.0,33.2,284.0,1022.3,43
1993-08-18,10.0,16.0,12.8,0.0,22.5,292.0,1023.4,44
1993-08-19,12.6,18.6,14.2,0.0,14.5,276.0,1022.0,45
1993-08-20,13.2,18.5,15.1,0.0,18.2,249.0,1018.2,46
1993-08-23,10.2,18.0,13.4,0.3,18.6,283.0,1007.6,49
1993-08-24,4.0,15.0,10.1,0.8,8.3,257.0,1010.0,50
1993-08-28,8.8,17.9,13.2,0.0,12.9,14.0,1021.3,54
1993-08-29,9.0,16.4,12.5,0.9,16.5,271.0,1022.2,55
1993-08-31,9.0,16.2,12.2,0.0,14.3,12.0,1018.7,57
1993-09-05,7.9,15.2,11.1,0.0,18.1,11.0,1013.9,62
1993-09-10,12.4,12.8,12.5,18.3,29.0,103.0,1008.5,67
1993-09-11,11.8,12.7,11.6,22.8,25.9,102.0,1007.3,68
1993-09-14,9.0,11.2,10.7,44.5,30.3,83.0,1000.9,71
1993-09-17,7.5,10.0,8.5,0.0,12.0,314.0,1009.5,74
1993-09-20,6.6,13.8,11.2,0.0,20.4,141.0,1028.7,77
1993-09-26,11.0,12.0,11.7,1.4,31.7,83.0,1005.5,83
1993-09-27,11.4,13.8,11.4,0.7,11.3,106.0,1011.7,84
1993-10-01,7.4,11.5,9.1,0.0,33.2,126.0,1012.9,88
1993-10-02,8.0,11.4,9.7,0.0,27.5,97.0,1004.3,89
1993-10-03,9.0,12.0,10.5,4.3,29.5,96.0,999.1,90
1993-10-07,10.2,14.0,10.9,2.0,9.6,209.0,1008.2,94
1993-10-11,6.0,14.0,10.2,0.3,3.8,179.0,1003.4,98
1993-10-18,0.8,9.8,2.9,0.0,11.9,264.0,1039.4,105
1993-10-19,1.8,9.6,4.1,0.0,14.0,251.0,1037.6,106
1993-10-20,-0.2,7.9,3.2,0.0,11.3,226.0,1023.0,107
1993-10-27,3.8,11.0,5.5,0.0,10.2,294.0,1029.1,114
1993-11-03,5.0,7.6,6.2,0.0,17.0,72.0,1018.6,121
